"Code","Gene","Header","Species","Taxonomy","Classification"
"Dreri","HOX","Dreri_P09013_Homeobox_protein_Hox_B5b","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P09067_Homeobox_protein_Hox_B5","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_P15862_Homeobox_protein_Hox_C6a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P09630_Homeobox_protein_Hox_C6","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q9PWM5_Homeobox_protein_Hox_C6b","Danio rerio","Chordata","Bilateria"
"Dreri","HOX","Dreri_P15861_Homeobox_protein_Hox_B6a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P17509_Homeobox_protein_Hox_B6","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q9YGT4_Homeobox_protein_Hox_B6b","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P31267_Homeobox_protein_Hox_A6","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q8AWY9_Homeobox_protein_Hox_B7a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P09629_Homeobox_protein_Hox_B7","Homo sapiens","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P31268_Homeobox_protein_Hox_A7","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_O57374_Homeobox_protein_Hox_D4a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P09016_Homeobox_protein_Hox_D4","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q9PWM3_Homeobox_protein_Hox_C4a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P09017_Homeobox_protein_Hox_C4","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q9PWL5_Homeobox_protein_Hox_A4a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_Q00056_Homeobox_protein_Hox_A4","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_P22574_Homeobox_protein_Hox_B4a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P17483_Homeobox_protein_Hox_B4","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_F1Q4R9_Homeobox_protein_MOX_1","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P50221_Homeobox_protein_MOX_1","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q90423_Homeobox_protein_Hox_B1b","Danio rerio","Chordata","Bilateria"
"Dreri","HOX","Dreri_O42366_Homeobox_protein_Hox_B1a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P14653_Homeobox_protein_Hox_B1","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q98SI1_Homeobox_protein_Hox_A1a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P49639_Homeobox_protein_Hox_A1","Homo sapiens","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_Q9GZZ0_Homeobox_protein_Hox_D1","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q6W990_Homeobox_protein_Hox_A13a","Danio rerio","Chordata","Bilateria"
"Dreri","HOX","Dreri_P79724_Homeobox_protein_Hox_A13b","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_Q92826_Homeobox_protein_Hox_B13","Homo sapiens","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P31271_Homeobox_protein_Hox_A13","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q1ECY2_Homeobox_protein_Hox_B13a","Danio rerio","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q90472_Homeobox_protein_Hox_D13a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P35453_Homeobox_protein_Hox_D13","Homo sapiens","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P31276_Homeobox_protein_Hox_C13","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q6JIY4_Homeobox_protein_Hox_C13b","Danio rerio","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q6JIY5_Homeobox_protein_Hox_C13a","Danio rerio","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q6DC85_Pancreas_duodenum_homeobox_protein_1","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P52945_Pancreas_duodenum_homeobox_protein_1","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_P28174_Homeobox_protein_Hox_C3a","Danio rerio","Chordata","Bilateria"
"Dreri","HOX","Dreri_O42367_Homeobox_protein_Hox_B2a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P14652_Homeobox_protein_Hox_B2","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_O42365_Homeobox_protein_Hox_A2b","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_O43364_Homeobox_protein_Hox_A2","Homo sapiens","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_O43365_Homeobox_protein_Hox_A3","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_O42370_Homeobox_protein_Hox_D3a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P31249_Homeobox_protein_Hox_D3","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_O42368_Homeobox_protein_Hox_B3a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P14651_Homeobox_protein_Hox_B3","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q8AWZ2_Homeobox_protein_Hox_A3a","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_Q14549_Homeobox_protein_GBX_1","Homo sapiens","Chordata","Bilateria"
"Dreri","HOX","Dreri_Q8QGU1_Gastrulation_brain_homeo_box_2","Danio rerio","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_P52951_Homeobox_protein_GBX_2","Homo sapiens","Chordata","Bilateria"
"Hsapi","HOX","Hsapi_Q8NHV9_Rhox_homeobox_family_member_1","Homo sapiens","Chordata","Bilateria"
"Dreri","ZF","Dreri_A5D8R5_Zhx2_protein","Danio rerio","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_Q9Y6X8_Zinc_fingers_and_homeoboxes_protein_2","Homo sapiens","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_Q9UKY1_Zinc_fingers_and_homeoboxes_protein_1","Homo sapiens","Chordata","Bilateria"
"Dreri","ZF","Dreri_B3DJM1_Homeobox_and_leucine_zipper_encoding_b","Danio rerio","Chordata","Bilateria"
"Dreri","ZF","Dreri_Q1ED06_Homeobox_and_leucine_zipper_protein_Homez","Danio rerio","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_Q8IX15_Homeobox_and_leucine_zipper_protein_Homez","Homo sapiens","Chordata","Bilateria"
"Dreri","ZF","Dreri_A0A0R4IDX7_Teashirt_homolog_3_isoform_X1","Danio rerio","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_Q63HK5_Teashirt_homolog_3","Homo sapiens","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_A6NJG6_Arginine_fifty_homeobox","Homo sapiens","Chordata","Bilateria"
"Dreri","ZF","Dreri_A0A8M2BH92_Zinc_fingers_and_homeoboxes_protein_2_like","Danio rerio","Chordata","Bilateria"
"Dreri","ZF","Dreri_A0A8M1RM49_Si_ch211_232b12_5","Danio rerio","Chordata","Bilateria"
"Dreri","ZF","Dreri_B0LVF0_SIP1b","Danio rerio","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_O60315_Zinc_finger_E_box_binding_homeobox_2","Homo sapiens","Chordata","Bilateria"
"Dreri","ZF","Dreri_F1QY45_Zinc_finger_E_box_binding_homeobox_2_isoform_X2","Danio rerio","Chordata","Bilateria"
"Dreri","ZF","Dreri_Q9DEH7_Kheper","Danio rerio","Chordata","Bilateria"
"Dreri","ZF","Dreri_F1QMZ5_Zinc_finger_E_box_binding_homeobox_1_isoform_X1","Danio rerio","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_P37275_Zinc_finger_E_box_binding_homeobox_1","Homo sapiens","Chordata","Bilateria"
"Dreri","ZF","Dreri_A0A8M1PYY4_Zinc_finger_homeobox_protein_4_isoform_X1","Danio rerio","Chordata","Bilateria"
"Dreri","ZF","Dreri_F1R6B2_Even_skipped_like1","Danio rerio","Chordata","Bilateria"
"Dreri","ZF","Dreri_F1R0G0_Zinc_fingers_and_homeoboxes_3","Danio rerio","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_Q9H4I2_Zinc_fingers_and_homeoboxes_protein_3","Homo sapiens","Chordata","Bilateria"
"Dreri","ZF","Dreri_A4QP16_Activity_dependent_neuroprotective_protein_2a","Danio rerio","Chordata","Bilateria"
"Dreri","ZF","Dreri_A0A8M9QI68_Zinc_finger_homeobox_3","Danio rerio","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_Q15911_Zinc_finger_homeobox_protein_3","Homo sapiens","Chordata","Bilateria"
"Dreri","ZF","Dreri_F1Q7K3_Si_ch73_386h18_1","Danio rerio","Chordata","Bilateria"
"Dreri","ZF","Dreri_F6NXU9_Zinc_finger_homeobox_4","Danio rerio","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_Q86UP3_Zinc_finger_homeobox_protein_4","Homo sapiens","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_Q9C0A1_Zinc_finger_homeobox_protein_2","Homo sapiens","Chordata","Bilateria"
"Dreri","ZF","Dreri_A0JMC9_ADNP_homeobox_2b","Danio rerio","Chordata","Bilateria"
"Hsapi","ZF","Hsapi_Q6IQ32_Activity_dependent_neuroprotector_homeobox_protein_2","Homo sapiens","Chordata","Bilateria"
"Hsapi","SINE","Hsapi_E9PGG2_Anomalous_homeobox_protein","Homo sapiens","Chordata","Bilateria"
"Dreri","SINE","Dreri_O93282_Homeobox_protein_Six7","Danio rerio","Chordata","Bilateria"
"Dreri","SINE","Dreri_Q5TYZ2_SIX_homeobox_6b","Danio rerio","Chordata","Bilateria"
"Dreri","SINE","Dreri_Q7T3G8_Homeobox_protein_SIX6","Danio rerio","Chordata","Bilateria"
"Hsapi","SINE","Hsapi_O95475_Homeobox_protein_SIX6","Homo sapiens","Chordata","Bilateria"
"Dreri","SINE","Dreri_O73708_Homeobox_protein_SIX3","Danio rerio","Chordata","Bilateria"
"Dreri","SINE","Dreri_O73709_Homeobox_protein_Six6","Danio rerio","Chordata","Bilateria"
"Hsapi","SINE","Hsapi_O95343_Homeobox_protein_SIX3","Homo sapiens","Chordata","Bilateria"
"Dreri","SINE","Dreri_Q9DEC0_Homeobox_protein_SIX5","Danio rerio","Chordata","Bilateria"
"Hsapi","SINE","Hsapi_Q8N196_Homeobox_protein_SIX5","Homo sapiens","Chordata","Bilateria"
"Dreri","SINE","Dreri_Q9DEE7_Homeobox_protein_six4_1","Danio rerio","Chordata","Bilateria"
"Dreri","SINE","Dreri_A4IG26_Homeobox_protein_SIX4","Danio rerio","Chordata","Bilateria"
"Hsapi","SINE","Hsapi_Q9UIU6_Homeobox_protein_SIX4","Homo sapiens","Chordata","Bilateria"
"Dreri","SINE","Dreri_B3DI74_SIX_homeobox_9","Danio rerio","Chordata","Bilateria"
"Dreri","SINE","Dreri_B3DIJ7_SIX_homeobox_2b","Danio rerio","Chordata","Bilateria"
"Dreri","SINE","Dreri_Q98TH1_Homeobox_protein_SIX2","Danio rerio","Chordata","Bilateria"
"Hsapi","SINE","Hsapi_Q9NPC8_Homeobox_protein_SIX2","Homo sapiens","Chordata","Bilateria"
"Dreri","SINE","Dreri_Q6NZ04_Homeobox_protein_six1b","Danio rerio","Chordata","Bilateria"
"Hsapi","SINE","Hsapi_Q15475_Homeobox_protein_SIX1","Homo sapiens","Chordata","Bilateria"
"Dreri","SINE","Dreri_Q6DHF9_Homeobox_protein_six1a","Danio rerio","Chordata","Bilateria"
"Dreri","HNF","Dreri_A1L1N5_Hepatocyte_nuclear_factor_1_beta_A","Danio rerio","Chordata","Bilateria"
"Hsapi","HNF","Hsapi_P35680_Hepatocyte_nuclear_factor_1_beta","Homo sapiens","Chordata","Bilateria"
"Dreri","HNF","Dreri_Q8UW00_Hepatocyte_nuclear_factor_1_beta_B","Danio rerio","Chordata","Bilateria"
"Dreri","HNF","Dreri_Q8UVH4_HNF1_homeobox_a","Danio rerio","Chordata","Bilateria"
"Hsapi","HNF","Hsapi_P20823_Hepatocyte_nuclear_factor_1_alpha","Homo sapiens","Chordata","Bilateria"
"Dreri","HNF","Dreri_F1RAA7_Uncharacterized_protein_LOC436941_isoform_X1","Danio rerio","Chordata","Bilateria"
"Dreri","HNF","Dreri_A0A8M2BH68_Homeobox_containing_protein_1_isoform_X5","Danio rerio","Chordata","Bilateria"
"Hsapi","HNF","Hsapi_Q6NT76_Homeobox_containing_protein_1","Homo sapiens","Chordata","Bilateria"
"Dreri","HNF","Dreri_A0A8M2BL53_Homeobox_containing_protein_1_isoform_X1","Danio rerio","Chordata","Bilateria"
"Dreri","CUT","Dreri_A0A8M2B5C5_DNA_binding_protein_SATB1_like_isoform_X1","Danio rerio","Chordata","Bilateria"
"Hsapi","CUT","Hsapi_Q01826_DNA_binding_protein_SATB1","Homo sapiens","Chordata","Bilateria"
"Dreri","CUT","Dreri_A0A8M2BFS5_DNA_binding_protein_SATB","Danio rerio","Chordata","Bilateria"
"Hsapi","CUT","Hsapi_Q9UPW6_DNA_binding_protein_SATB2","Homo sapiens","Chordata","Bilateria"
"Dreri","CUT","Dreri_A0A8N7T7L6_One_cut_domain_family_member","Danio rerio","Chordata","Bilateria"
"Dreri","CUT","Dreri_A0A8M6Z2N4_One_cut_domain_family_member","Danio rerio","Chordata","Bilateria"
"Hsapi","CUT","Hsapi_O60422_One_cut_domain_family_member_3","Homo sapiens","Chordata","Bilateria"
"Dreri","CUT","Dreri_A2BF65_One_cut_domain_family_member","Danio rerio","Chordata","Bilateria"
"Dreri","CUT","Dreri_A0A8M1QUT6_One_cut_domain_family_member","Danio rerio","Chordata","Bilateria"
"Hsapi","CUT","Hsapi_O95948_One_cut_domain_family_member_2","Homo sapiens","Chordata","Bilateria"
"Dreri","CUT","Dreri_Q6PHC9_One_cut_domain_family_member","Danio rerio","Chordata","Bilateria"
"Hsapi","CUT","Hsapi_Q9UBC0_Hepatocyte_nuclear_factor_6","Homo sapiens","Chordata","Bilateria"
"Dreri","CUT","Dreri_A0A8M3B1R7_Homeobox_protein_cut_like","Danio rerio","Chordata","Bilateria"
"Hsapi","CUT","Hsapi_O14529_Homeobox_protein_cut_like_2","Homo sapiens","Chordata","Bilateria"
"Dreri","CUT","Dreri_E7F4J9_Homeobox_protein_cut_like","Danio rerio","Chordata","Bilateria"
"Hsapi","CUT","Hsapi_P39880_Homeobox_protein_cut_like_1","Homo sapiens","Chordata","Bilateria"
"Dreri","CUT","Dreri_A0A8M9Q9Z2_DNA_binding_protein_SATB","Danio rerio","Chordata","Bilateria"
"Cgiga","LIM","Cgiga_LIM_homeobox_protein_Lhx3_like","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","LIM","Cgiga_LIM_homeobox_protein_Lhx5","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","LIM","Cgiga_LIM_homeobox_protein_Lhx3","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","LIM","Cgiga_LIM_homeobox_protein_LMX_1_2_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","LIM","Cgiga_LIM_homeobox_transcription_factor_1_beta_1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","LIM","Cgiga_LIM_homeobox_protein_Awh","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","LIM","Cgiga_LIM_homeobox_protein_Awh_2","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","LIM","Cgiga_LIM_homeobox_protein_Lhx9","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","LIM","Cgiga_insulin_gene_enhancer_protein_ISL_1_like_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","CERS","Cgiga_ceramide_synthase_2","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","CERS","Cgiga_ceramide_synthase_5_like_isoform_X3","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","CERS","Cgiga_ceramide_synthase_6_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","CERS","Cgiga_ceramide_synthase_6_like_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","POU","Cgiga_POU_domain_class_4_transcription_factor_3_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","POU","Cgiga_POU_domain_class_3_transcription_factor_4_like","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","POU","Cgiga_LOW_QUALITY_PROTEIN_POU_domain_class_2_transcription_factor_1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SOX","Cgiga_transcription_factor_SOX_5_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SOX","Cgiga_transcription_factor_Sox_2","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SOX","Cgiga_transcription_factor_SOX_14","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SOX","Cgiga_transcription_factor_SOX_11","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SOX","Cgiga_transcription_factor_Sox_8_like","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SOX","Cgiga_transcription_factor_Sox_21_A","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SOX","Cgiga_uncharacterized_protein_LOC105327228","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_short_stature_homeobox_protein_2","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_retina_and_anterior_neural_fold_homeobox_protein_2_like_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_EMX1_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_uncharacterized_protein_LOC105334001_isoform_X2","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_transcription_factor_LBX1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_ventral_anterior_homeobox_2b_like","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_hematopoietically_expressed_homeobox_protein_HHEX_homolog","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_Dlx6a","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_EMX2","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_Nkx_2_5","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_Nkx_2_2a","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_slou","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_Nkx_2_1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_unc_4_homolog","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_dorsal_root_ganglia_homeobox_protein","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_Nkx_3_2","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_homeobox_protein_Nkx_6_2","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","NKL","Cgiga_LOW_QUALITY_PROTEIN_homeobox_protein_DBX1_B","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_zinc_finger_homeobox_protein_3","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_H2_0_like_homeobox_protein_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_motor_neuron_and_pancreas_homeobox_protein_1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_HMX1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_vab_7","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_XHOX_3","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_CDX_1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_abdominal_B","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_Hox_B7","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_Hox_B6a","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_Hox_A7","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_Hox_C5a","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_Hox_A5","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_MOX_1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_Hox_A9a_isoform_X3","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_Hox_A9_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_pancreas_duodenum_homeobox_protein_1_like","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_Hox_A1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_uncharacterized_protein_LOC105326436","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_Hox_D3","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","HOX","Cgiga_homeobox_protein_GBX_2","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","ZF","Cgiga_homeobox_protein_ARX_like","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","ZF","Cgiga_LOW_QUALITY_PROTEIN_zinc_finger_protein_1_like","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","ZF","Cgiga_zinc_finger_homeobox_protein_4","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SINE","Cgiga_homeobox_protein_ceh_34_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SINE","Cgiga_homeobox_protein_SIX6","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SINE","Cgiga_homeobox_protein_SIX4","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","SINE","Cgiga_homeobox_protein_six1_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","CUT","Cgiga_homeobox_protein_onecut_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","CUT","Cgiga_one_cut_domain_family_member_2_isoform_X3","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","CUT","Cgiga_uncharacterized_protein_LOC105334001_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Cgiga","CUT","Cgiga_homeobox_protein_cut_like_1_isoform_X1","Crassostrea gigas","Mollusca","Bilateria"
"Celeg","LIM","Celeg_P09088_Mechanosensory_protein_3","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","LIM","Celeg_P20154_Protein_lin_11","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","LIM","Celeg_P20271_LIM_homeobox_protein_ceh_14","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","LIM","Celeg_Q21192_LIM_homeobox_protein_lim_6","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","LIM","Celeg_G5EEA1_LIM_homeobox_protein_lim_4","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","LIM","Celeg_G5EE86_LIM_homeobox_protein_ttx_3","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","LIM","Celeg_G5EC36_LIM_homeobox_protein_lim_7","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","POU","Celeg_P13528_Transcription_factor_unc_86","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","POU","Celeg_P20268_Homeobox_protein_ceh_6","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","POU","Celeg_P41934_Homeobox_protein_ceh_18","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","SOX","Celeg_Q23045_Transcription_factor_egl_13","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","SOX","Celeg_Q20201_Transcription_factor_sox_3","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","SOX","Celeg_Q21305_Transcription_factor_sox_2","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","SOX","Celeg_A0A1N7SZG1_HMG_box_domain_containing_protein","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","SOX","Celeg_Q8T3B9_Transcription_factor_sem_2","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_P34766_Homeobox_protein_pal_1","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_Q18273_Homeobox_protein_ceh_43","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_G5EGE2_COG_1A","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_G5ECT8_Homeobox_protein_ceh_2","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_Q93352_Homeobox_protein_ceh_36","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_P20270_Homeobox_protein_ceh_7","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_P29506_Homeobox_protein_unc_4","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_Q9U1R1_Homeobox_protein_ceh_51","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_G5EE18_Homeobox_protein_ceh_28","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_P53547_Homeobox_protein_ceh_1_Fragment","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_P41936_Homeobox_protein_ceh_22","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","NKL","Celeg_Q9NLC2_Homeobox_protein_ceh_24","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","HOX","Celeg_Q21578_Homeobox_protein_HEX_homolog_pha_2","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","HOX","Celeg_P26797_Homeobox_protein_ceh_19","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","HOX","Celeg_P34684_Homeobox_protein_lin_39","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","HOX","Celeg_P10038_Homeobox_protein_mab_5","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","HOX","Celeg_P17488_Homeobox_protein_ceh_13","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","ZF","Celeg_G5EBU4_Zinc_finger_E_box_binding_homeobox_protein_zag_1","Caenorhabditis elegans","Nematoda","Bilateria"
"Celeg","ZF","Celeg_V6CLN5_Zinc_Finger_and_Homeobox","Caenorhabditis elegans","Nematoda","Bilateria"
